MSE,Var_exp,MSE_test,Var_exp_test,R2,site,property
0.136495629877405,0.725222803264984,0.120492222816365,0.752847264678667,0.72092756865356,Agriculture,b_col
2.81850464827587,0.552399630984232,2.80571549138036,0.559792669714815,0.546770052407163,Forest,Ni
0.154771133007907,0.731998257474109,0.136373852257026,0.759355968707458,0.728829551965328,Agriculture,c_col
0.0479388028914625,0.929881989136969,0.0441036877368585,0.931037340691993,0.929668304729036,Agriculture,La
0.00125359488952154,0.572858739207543,0.00127838141964209,0.590562917016254,0.550942958968789,Agriculture,Nb
0.0012729995553721,0.696433402644204,0.00118182446341822,0.708773650176066,0.692424206717509,Agriculture,Fe
0.338208873717261,0.931155190869455,0.334578999592338,0.936918371038393,0.92870840724912,Agriculture,Ni
0.733420770363039,0.952565087988758,0.642923748877009,0.960603216918908,0.946161780166305,Agriculture,Rb
0.277929181429109,0.412866424313565,0.281696696868361,0.419531262711559,0.456333635458722,Forest,Li
0.0888975763712876,0.797815675750648,0.0796200220540774,0.824839257417877,0.804703758331434,Agriculture,Co
0.00658942466811007,0.850469625169169,0.00599561027049014,0.868521244769009,0.853308312511366,Agriculture,a_col
5.6252313647966e-4,0.587544484016072,5.6287263047336e-4,0.602727411388166,0.616416588159769,Forest,h_col
3.83391918950332e-5,0.583131365248554,4.18386269990805e-5,0.586467893776325,0.564706547919862,Agriculture,h_col
0.00216417451711984,0.856597180270168,0.00214703369923097,0.863574650266373,0.849964049974787,Agriculture,Cs
0.243505035948933,0.390797439678969,0.233965677150391,0.429457924359284,0.47573399037737,Forest,Co
29.4266749435421,0.594283842299396,29.6625068224278,0.590699572075177,0.589143444978053,Forest,Sr
0.538249849647959,0.593423021957422,0.533456155090236,0.59804634507707,0.643311081564013,Agriculture,Li
97.2209672119061,0.935141030518438,93.9699501389696,0.936268069175528,0.92806218305616,Agriculture,Sr
5.940707553931699e-7,0.7333114076650291,5.699789605476214e-7,0.7360327967816165,0.6949315409505327,Agriculture,x_col
0.374464852742291,0.916455890832705,0.359062262571372,0.918193925433293,0.909754666883416,Agriculture,Ca
0.231083740361194,0.610541125079094,0.230752442118031,0.606958603310138,0.631756835498119,Forest,Ca
1.40099019643691,0.432603730418578,1.32337338347299,0.475105997482533,0.48180488047825,Forest,La
0.00195037921402648,0.641329714134619,0.00180370635735199,0.671345104060038,0.661386603942674,Forest,Cs
5.6674547261039e-4,0.549551637940024,5.6506353908204e-4,0.559361805191782,0.579713115068463,Forest,Nb
